start;(1,0,0,lR,UMxf,all-terrain,50,100%,);(n.a.)
0;(3,0,0,lR,UMxf,all-terrain,49,100%,);(A1)
1;(3,1,0,lR,UMxf,all-terrain,47,100%,);(A1)
10;(8,0,0,lR,UMxf,all-terrain,45,100%,);(A1)
11;(8,1,0,lR,UMxf,all-terrain,35,100%,);(A1)
20;(13,0,0,lR,UMxf,all-terrain,25,100%,);(A1)
21;(18,0,0,lR,UMxf,all-terrain,15,100%,);(A1)
22;(19,0,0,lR,UMxf,all-terrain,10,100%,);(A1)
23;(24,0,0,lR,UMxf,all-terrain,9,100%,);(A1)
24;(24,1,0,lR,UMxf,all-terrain,8,100%,);(A1)
33;(20,0,0,lR,UMxf,all-terrain,7,100%,);(A1)
34;(20,1,0,lR,UMxf,all-terrain,0,100%,);(A1)
43;(20,0,0,NdgGM,UMxf,all-terrain,50,100%,);(A2:NdgGM)
44;(21,0,0,NdgGM,UMxf,all-terrain,48,100%,);(A1)
45;(21,1,0,NdgGM,UMxf,all-terrain,42,100%,);(A1)
54;(22,0,0,NdgGM,UMxf,all-terrain,36,100%,);(A1)
55;(23,0,0,NdgGM,UMxf,all-terrain,34,100%,);(A1)
56;(25,0,0,NdgGM,UMxf,all-terrain,28,100%,);(A1)
57;(25,1,0,NdgGM,UMxf,all-terrain,22,100%,);(A1)
66;(26,0,0,NdgGM,UMxf,all-terrain,16,100%,);(A1)
67;(27,0,0,NdgGM,UMxf,all-terrain,8,100%,);(A1)
Goal reached, you bloody ripper!
