start;(1,0,0,car-the-worst,driver-worst,all-terrain,50,100%,);(n.a.)
0;(1,0,0,car-the-worst,driver-best,all-terrain,50,100%,);(A3:driver-best)
1;(1,0,0,car-the-worst,driver-best,performance,50,100%,);(A4:performance)
2;(2,0,0,car-the-worst,driver-best,performance,35,100%,);(A1)
3;(4,0,0,car-the-worst,driver-best,performance,20,100%,);(A1)
4;(4,0,0,car-for-1-6,driver-best,performance,50,100%,);(A2:car-for-1-6)
5;(6,0,0,car-for-1-6,driver-best,performance,48,100%,);(A1)
6;(8,0,0,car-for-1-6,driver-best,performance,46,100%,);(A1)
7;(10,0,0,car-for-1-6,driver-best,performance,31,100%,);(A1)
8;(10,0,1,car-for-1-6,driver-best,performance,16,100%,);(A1)
11;(10,0,0,car-for-7-12,driver-best,performance,50,100%,);(A2:car-for-7-12)
12;(10,0,0,car-for-19-24,driver-best,performance,50,100%,);(A2:car-for-19-24)
13;(10,0,0,car-for-13-18,driver-best,performance,50,100%,);(A2:car-for-13-18)
14;(11,0,0,car-for-13-18,driver-best,performance,35,100%,);(A1)
16;(11,0,0,car-for-13-18,driver-best,performance,50,100%,);(A5:15)
17;(13,0,0,car-for-13-18,driver-best,performance,35,100%,);(A1)
18;(13,1,0,car-for-13-18,driver-best,performance,33,100%,);(A1)
21;(15,0,0,car-for-13-18,driver-best,performance,31,100%,);(A1)
22;(16,0,0,car-for-13-18,driver-best,performance,29,100%,);(A1)
23;(17,0,0,car-for-13-18,driver-best,performance,27,100%,);(A1)
24;(17,0,0,car-for-19-24,driver-best,performance,50,100%,);(A2:car-for-19-24)
25;(18,0,0,car-for-19-24,driver-best,performance,35,100%,);(A1)
26;(18,1,0,car-for-19-24,driver-best,performance,20,100%,);(A1)
29;(18,1,0,car-for-19-24,driver-best,performance,5,100%,);(A1)
36;(18,0,0,car-for-19-24,driver-best,performance,50,100%,);(A5:45)
37;(19,0,0,car-for-19-24,driver-best,performance,35,100%,);(A1)
38;(19,1,0,car-for-19-24,driver-best,performance,33,100%,);(A1)
41;(20,0,0,car-for-19-24,driver-best,performance,31,100%,);(A1)
42;(21,0,0,car-for-19-24,driver-best,performance,29,100%,);(A1)
43;(23,0,0,car-for-19-24,driver-best,performance,27,100%,);(A1)
44;(25,0,0,car-for-19-24,driver-best,performance,25,100%,);(A1)
45;(25,0,1,car-for-19-24,driver-best,performance,23,100%,);(A1)
48;(26,0,0,car-for-19-24,driver-best,performance,21,100%,);(A1)
49;(26,0,0,car-for-13-18,driver-best,performance,50,100%,);(A2:car-for-13-18)
50;(26,0,0,car-for-13-18,driver-best,performance,48,100%,);(A1)
51;(28,0,0,car-for-13-18,driver-best,performance,46,100%,);(A1)
52;(28,0,0,car-for-7-12,driver-best,performance,50,100%,);(A2:car-for-7-12)
53;(29,0,0,car-for-7-12,driver-best,performance,48,100%,);(A1)
54;(29,0,0,car-for-7-12,driver-best,performance,50,100%,);(A5:2)
55;(29,0,0,car-for-7-12,driver-best,performance,50,50%,);(A6:50%)
56;(30,0,0,car-for-7-12,driver-best,performance,44,50%,);(A1)
Goal reached, you bloody ripper!
